  ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP A-FRQ    RMS ASL PCNTS THR R-FRQ I-FRQ SIG-STRNGTH  ABS-ENERGY FRQ-C P-FRQ
  1           26.5521053   1     0     1     0         1  38  1000 0.0006  20     1  35     0  1000 103.700E+00 917.780E-03   759     4
  1          948.9691823   1     0     1     0        17  50    59 0.0006  20     1  35     0  1000   1.638E+03  24.981E+00   504    29
  1         1741.1208892   1     0     1     0        19  51    53 0.0006  20     1  35     0  1000   2.147E+03  36.264E+00   485    24
  1         2478.2828722   1     0     1     0         2  41   500 0.0006  20     1  35     0  1000 201.300E+00   2.302E+00   672     4
  1         2565.1745323   1     0     1     0         2  37   500 0.0006  20     1  35     0  1000 125.050E+00 999.522E-03   756     4
  1         2568.6966613   1     0     1     0         2  39   500 0.0006  20     1  35     0  1000 137.250E+00   1.295E+00   723     4
  1         2710.5580867   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000  21.350E+00 179.497E-03   803     4
  1         2737.1706362   1     0     1     0         2  41   500 0.0006  20     1  35     0  1000 173.850E+00   1.922E+00   692     4
  1         3491.0605865   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  65.356E-03   842     4
  1         3751.2550230   1     0     1     0         1  37  1000 0.0006  20     1  35     0  1000  91.500E+00 707.001E-03   775     4
  1         5750.8855903   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   852     4
  1         5767.2012675   1     0     1     0         0  36     0 0.0006  20     1  35     0  1000  33.550E+00 325.478E-03   803     4
  1         5945.6210160   1     0     1     0         1  37  1000 0.0006  20     1  35     0  1000  61.000E+00 535.325E-03   744     4
  1         6928.9223748   1     0     1     0         2  40   500 0.0006  20     1  35     0  1000 179.950E+00   2.007E+00   672     4
  1         7247.8217635   1     0     1     0        10  43   100 0.0006  20     1  35     0  1000 469.700E+00   4.147E+00   632     4
  1         7333.2761015   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  80.066E-03   853     4
  1         7607.4566315   1     0     1     0        14  48    71 0.0006  20     1  35     0  1000 933.300E+00  10.597E+00   578    29
  1         7810.5989255   1     0     1     0        16  46    63 0.0006  20     1  35     0  1000   1.074E+03  10.978E+00   574    29
  1         8279.8832095   1     0     1     0         1  37  1000 0.0006  20     1  35     0  1000  91.500E+00 748.710E-03   760     4
  1         8801.3732075   1     0     1     0        12  41    83 0.0006  20     1  35     0  1000 463.600E+00   2.875E+00   688     4
  1         8911.3925852   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  72.618E-03   838     4
  1         9360.1413712   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  72.618E-03   844     4
  1         9478.3631085   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   850     4
  1         9949.5570012   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   843     4
  1        10349.6434833   1     0     1     0        16  46    63 0.0006  20     1  35     0  1000   1.040E+03  10.181E+00   590    24
  1        10965.0116245   1     0     1     0         0  36     0 0.0006  20     1  35     0  1000  30.500E+00 288.982E-03   811     4
  1        11519.9501228   1     0     1     0         0  36     0 0.0006  20     1  35     0  1000  33.550E+00 296.803E-03   787     4
  1        12242.7549590   1     0     1     0        16  47    63 0.0006  20     1  35     0  1000   1.153E+03  12.434E+00   564    24
  1        12477.9242723   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00 113.954E-03   805     4
  1        12684.8757683   1    38     5     3      1173  39     4 0.0006  20     2  35     2    52  20.523E+03  70.802E+00   620    29
  1        13018.7916882   1     0     2     0        43  57    47 0.0006  20     1  35    23  1000   5.023E+03 130.973E+00   436    29
  1        13123.2979180   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   863     4
  1        13293.9380855   1     4     3     2       968  37     3 0.0006  20     1  35     2   250  14.539E+03  43.937E+00   676    19
  1        13609.0062193   1     0     1     0         2  39   500 0.0006  20     1  35     0  1000 134.200E+00   1.221E+00   743     4
  1        13855.9708263   1     0     1     0         2  40   500 0.0006  20     1  35     0  1000 146.400E+00   1.430E+00   677     4
  1        14528.0177733   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  96.265E-03   833     4
  1        14962.6466763   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  82.114E-03   809     4
  1        15390.4300978   1     0     1     0         2  44   500 0.0006  20     1  35     0  1000 274.500E+00   4.187E+00   625     4
  1        15594.9925992   1     0     1     0        12  41    83 0.0006  20     1  35     0  1000 570.350E+00   4.127E+00   648     4
  1        15721.4355115   1     0     1     0         2  44   500 0.0006  20     1  35     0  1000 259.250E+00   3.872E+00   646     4
  1        16282.1604750   1     0     1     0        14  44    71 0.0006  20     1  35     0  1000 890.600E+00   8.316E+00   596     4
  1        16488.3048940   1     0     1     0         2  42   500 0.0006  20     1  35     0  1000 167.750E+00   1.959E+00   674     4
  1        16498.4999238   1     0     1     0         2  44   500 0.0006  20     1  35     0  1000 259.250E+00   3.674E+00   637     4
  1        16710.7463710   1     0     1     0        19  50    53 0.0006  20     1  35     0  1000   2.025E+03  32.736E+00   495    29
  1        17933.3385915   1     0     1     0         2  40   500 0.0006  20     1  35     0  1000 140.300E+00   1.369E+00   698     4
  1        18137.8583867   1     0     1     0         2  38   500 0.0006  20     1  35     0  1000 131.150E+00   1.205E+00   718     4
  1        19039.7300145   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   849     4
  1        19277.8297507   1     0     1     0         2  41   500 0.0006  20     1  35     0  1000 176.900E+00   1.848E+00   701     4
  1        19314.0982520   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   816     4
  1        19604.9021895   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   857     4
  1        20829.2699503   1     0     1     0        14  42    71 0.0006  20     1  35     0  1000 719.800E+00   5.531E+00   639     4
  1        20891.6155848   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   843     4
  1        21331.7990885   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   845     4
  1        22674.4633285   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   831     4
  1        22956.1323225   1     0     1     0         1  36  1000 0.0006  20     1  35     0  1000  73.200E+00 544.263E-03   780     4
  1        24181.8219553   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  65.356E-03   825     4
  1        26253.3293915   1     0     1     0         2  42   500 0.0006  20     1  35     0  1000 219.600E+00   2.896E+00   651     4
  1        26638.0292637   1     0     1     0        12  42    83 0.0006  20     1  35     0  1000 524.600E+00   3.704E+00   667     4
  1        28465.3476925   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000  21.350E+00 174.469E-03   760     4
  1        28552.5627253   1     0     1     0         2  44   500 0.0006  20     1  35     0  1000 268.400E+00   3.992E+00   611     4
  1        29027.3496365   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   832     4
  1        29477.4794488   1     0     1     0         0  36     0 0.0006  20     1  35     0  1000  30.500E+00 286.748E-03   803     4
  1        31383.1392813   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   841     4
  1        31962.0282875   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  72.618E-03   835     4
  1        32653.7621160   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   863     4
  1        34750.3330382   1     0     1     0        19  52    53 0.0006  20     1  35     0  1000   1.867E+03  30.484E+00   504    24
  1        34777.8399847   1     0     1     0        16  48    63 0.0006  20     1  35     0  1000   1.168E+03  13.661E+00   547    34
  1        35257.9843780   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   854     4
  1        35755.4519437   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   850     4
  1        36106.0256195   1     0     1     0        12  46    83 0.0006  20     1  35     0  1000 786.900E+00   8.696E+00   582    34
  1        36254.6321032   1     0     1     0         0  36     0 0.0006  20     1  35     0  1000  33.550E+00 305.927E-03   750     4
  1        36889.3697107   1     0     1     0         1  37  1000 0.0006  20     1  35     0  1000  85.400E+00 745.359E-03   716     4
  1        36905.7135630   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   9.150E+00  88.073E-03   844     4
  1        37731.6668620   1     0     1     0         2  41   500 0.0006  20     1  35     0  1000 155.550E+00   1.602E+00   711     4
  1        38029.4439870   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000  18.300E+00 130.899E-03   676    34
  1        39211.9152695   1     0     1     0         0  35     0 0.0006  20     1  35     0  1000   6.100E+00  65.356E-03   817     4
