 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP A-FRQ    RMS ASL PCNTS THR R-FRQ I-FRQ SIG-STRNGTH  ABS-ENERGY FRQ-C P-FRQ
  1           12.9675005   1     0     2     0        14  36   143 0.0008  22     1  35    76  1000 536.800E+00   2.781E+00   673     4
  1           23.2541642   1     0     1     0         2  36   500 0.0008  22     1  35     0  1000  67.100E+00 321.381E-03   807     4
  1           35.7921342   1     0     3     0        11  37   273 0.0008  22     2  35   100  2000 387.350E+00   1.896E+00   780     4
  1           69.1283463   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   758     4
  1           69.4584653   1     0     1     0        19  52    53 0.0008  22     1  35     0  1000   2.187E+03  40.411E+00   477    24
  1           88.6532703   1    28    23     4       760  47    30 0.0008  22     2  35    28    71  29.917E+03 230.526E+00   493    48
  1           90.8471007   1     0     1     0         2  35   500 0.0008  22     1  35     0  1000  82.350E+00 385.062E-03   759     4
  1           92.3062077   1     0     1     0         1  36  1000 0.0008  22     1  35     0  1000  57.950E+00 402.192E-03   710     4
  1          109.6279385   1     0     2     1        55  62    36 0.0008  22     1  35    18  1000  10.410E+03 456.376E+00   405    24
  1          146.8332895   1     0     3     0         4  36   750 0.0008  22     1  35   666  1000 131.150E+00 582.247E-03   777     4
  1          173.3065142   1     0     1     0         2  39   500 0.0008  22     1  35     0  1000 128.100E+00   1.235E+00   706     4
  1          186.8401162   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   810     4
  1          192.4227895   1   360     3     2       805  38     4 0.0008  22     3  35     0     8  13.429E+03  44.012E+00   648    39
  1          192.4272128   1     0     1     0         1  35  1000 0.0008  22     1  35     0  1000  64.050E+00 379.476E-03   723    39
  1          194.3205580   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   9.150E+00  96.265E-03   793     4
  1          202.9065460   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   767     4
  1          202.9343913   1    39     5     0        44  39   114 0.0008  22     4  35   250   102   1.135E+03   4.921E+00   785     4
  1          204.1956293   1     2     1     0         4  36   250 0.0008  22     1  35     0   500 250.100E+00   1.535E+00   635    48
  1          205.3335340   1     1     1     0         1  35  1000 0.0008  22     1  35     0  1000  76.250E+00 466.431E-03   680    53
  1          212.7549598   1     0     2     0         4  37   500 0.0008  22     2  35     0  2000 164.700E+00 840.134E-03   740     4
  1          226.8711197   1    22     1     0        26  36    38 0.0008  22     1  35     0    45 985.150E+00   4.990E+00   678    43
  1          234.0154423   1     3     1     0         5  37   200 0.0008  22     1  35     0   333 308.050E+00   2.151E+00   656    39
  1          234.5696473   1     0     1     0         0  36     0 0.0008  22     1  35     0  1000  33.550E+00 225.302E-03   705    58
  1          237.2352325   1     2     1     0         2  36   500 0.0008  22     1  35     0   500  73.200E+00 392.323E-03   754     4
  1          254.3472750   1    25    17     0        84  41   202 0.0008  22     8  35   155   320   2.663E+03  15.926E+00   630     4
  1          255.4616622   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   810     4
  1          259.3191453   1     0     1     0         2  39   500 0.0008  22     1  35     0  1000 155.550E+00   1.458E+00   737     4
  1          270.5951943   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   773     4
  1          291.8292778   1    27     2     0        28  37    71 0.0010  23     2  35     0    74 735.050E+00   3.175E+00   628    39
  1          298.0713395   1     0     1     0         1  37  1000 0.0008  22     1  35     0  1000  70.150E+00 578.523E-03   783     4
  1          300.1633785   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   9.150E+00  72.618E-03   667     4
  1          307.1884090   1     0     1     0         1  36  1000 0.0008  22     1  35     0  1000  82.350E+00 580.572E-03   771     4
  1          312.2894565   1     0     1     0        15  49    67 0.0008  22     1  35     0  1000   1.098E+03  14.289E+00   544     4
  1          315.1722112   1     0     1     0         1  35  1000 0.0008  22     1  35     0  1000  54.900E+00 356.201E-03   710     4
  1          328.8193758   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   9.150E+00  72.618E-03   809     4
  1          338.2432953   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000  30.500E+00 218.226E-03   691    68
  1          347.5683222   1     0     4     0        26  39   154 0.0008  22     2  35    80  2000 652.700E+00   2.926E+00   737     4
  1          356.1070803   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000  21.350E+00 145.236E-03   605    29
  1          358.5530113   1     0     1     0         0  36     0 0.0008  22     1  35     0  1000  18.300E+00 176.518E-03   655     4
  1          358.9397022   1     0     1     0         1  37  1000 0.0008  22     1  35     0  1000  85.400E+00 670.506E-03   776     4
  1          366.0084575   1    23     2     0        23  36    87 0.0008  22     2  35     0    86 899.750E+00   4.543E+00   675    34
  1          370.0152410   1   389    16     4      1085  40    15 0.0008  22    10  35     8    25  30.009E+03 144.897E+00   542    34
  1          372.6509443   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000  30.500E+00 203.517E-03   633    63
  1          379.8249523   1   450    21     9      1846  44    11 0.0008  22    12  35     6    26  57.282E+03 346.679E+00   539    29
  1          382.3991802   1     0     1     0         0  37     0 0.0008  22     1  35     0  1000  33.550E+00 365.324E-03   763     4
  1          384.3325420   1     0     5     0        34  38   147 0.0008  22     1  35   121  1000 988.200E+00   4.512E+00   773   444
  1          384.5351478   1    59     3     0        74  37    41 0.0008  22     2  35    66    33   1.650E+03   7.237E+00   671     4
  1          387.6131578   1    45    35    13      2889  43    12 0.0008  22     3  35    11    66  85.275E+03 449.730E+00   483    24
  1          389.6544250   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   6.100E+00  80.066E-03   819     4
  1          389.9749832   1     2     1     0         3  36   333 0.0008  22     1  35     0   500 189.100E+00   1.172E+00   627    29
  1          391.9963600   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   734     4
  1          394.7047902   1     2     1     0        21  36    48 0.0008  22     1  35     0   500 625.250E+00   2.746E+00   701     4
  1          398.2403318   1    25     5     1       387  41    13 0.0008  22     2  35     8    80   8.049E+03  35.150E+00   602    43
  1          399.8943483   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   9.150E+00  72.618E-03   706     4
  1          399.9525845   1    94     2     0        96  37    21 0.0008  22     1  35   500    10   2.022E+03   7.578E+00   693    34
  1          400.4723615   1   452    38    17      3571  46    11 0.0008  22     7  35     9    15 108.394E+03 692.333E+00   496    24
  1          410.1260710   1     0     1     0       320  35     3 0.0008  22     1  35     0  1000   5.359E+03  15.130E+00   621    39
  1          417.3420883   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   631    68
  1          426.8933775   1     0     3     0        31  36    97 0.0008  22     3  35     0  3000 664.900E+00   2.495E+00   693     4
  1          429.0810398   1     0     6     0        16  39   375 0.0008  22     3  35   200  3000 628.300E+00   3.489E+00   738     4
  1          444.9012012   1   485     8     2       509  39    16 0.0008  22     6  35    86    12  12.606E+03  52.318E+00   553    43
  1          451.4849542   1     0     1     0         2  35   500 0.0008  22     1  35     0  1000  70.150E+00 316.354E-03   786     4
  1          457.9654612   1   518     2     1       520  36     4 0.0008  22     2  35     0     3   8.265E+03  24.623E+00   620    24
  1          464.6023598   1     0     1     0        16  35    63 0.0008  22     1  35     0  1000 536.800E+00   2.364E+00   706     4
  1          477.2065790   1     0     2     0         5  36   400 0.0008  22     1  35   250  1000 179.950E+00 904.373E-03   745     4
  1          486.0923262   1     0     1     0         2  38   500 0.0008  22     1  35     0  1000 134.200E+00   1.168E+00   717     4
  1          495.9964802   1     0     2     0         4  36   500 0.0008  22     1  35   333  1000 152.500E+00 755.786E-03   805     4
  1          497.4905990   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   689    34
  1          500.4438150   1     0     4     0         9  38   444 0.0008  22     1  35   375  1000 384.300E+00   2.244E+00   724     4
  1          505.0854058   1     0     1     0         1  35  1000 0.0008  22     1  35     0  1000  42.700E+00 268.873E-03   650    58
  1          530.3357262   1     7     2     0         7  36   286 0.0008  22     1  35  1000   142 173.850E+00 820.770E-03   700     4
  1          533.8524723   1   501     2     1       503  36     4 0.0008  22     2  35     0     3   9.028E+03  29.024E+00   661    34
  1          538.2550468   1     0     4     0        11  37   364 0.0008  22     3  35   100  3000 445.300E+00   2.386E+00   780     4
  1          543.1425327   1    20    15     0        41  41   366 0.0008  22    11  35   200   550   2.190E+03  16.946E+00   716   439
  1          555.3718942   1     0     2     0         6  37   333 0.0008  22     2  35     0  2000 237.900E+00   1.200E+00   774     4
  1          556.1298092   1     0     1     0         2  36   500 0.0008  22     1  35     0  1000  85.400E+00 428.819E-03   788     4
  1          601.4474243   1     1     1     0         2  36   500 0.0008  22     1  35     0  1000 152.500E+00 999.149E-03   658    34
  1          606.3704650   1     0     1     0         2  36   500 0.0008  22     1  35     0  1000  73.200E+00 367.000E-03   800     4
  1          611.8592842   1   317    12     2       612  43    20 0.0010  23     8  35    13    25  17.785E+03 101.624E+00   536    48
  1          612.1641725   1     0     2     0       352  38     6 0.0008  22     1  35     2  1000   5.429E+03  16.389E+00   631    43
  1          614.8301622   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   779     4
  1          614.9693193   1    61    29     8      2031  44    14 0.0010  23     3  35    13    49  55.312E+03 293.801E+00   531    34
  1          617.0188905   1     0     1     0         2  36   500 0.0008  22     1  35     0  1000 103.700E+00 692.850E-03   673    48
  1          621.6314265   1     0     1     0         2  35   500 0.0008  22     1  35     0  1000  70.150E+00 327.898E-03   747     4
  1          621.7780552   1     2     2     0       318  38     6 0.0008  22     1  35     3   500   4.749E+03  15.997E+00   676    43
  1          641.7614697   1     0     1     0         1  38  1000 0.0008  22     1  35     0  1000  61.000E+00 589.137E-03   746     4
  1          642.0635872   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   792     4
  1          647.0682222   1     0     3     0         9  35   333 0.0008  22     3  35     0  3000 286.700E+00   1.288E+00   798     4
