ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP A-FRQ    RMS ASL PCNTS THR R-FRQ I-FRQ SIG-STRNGTH  ABS-ENERGY FRQ-C P-FRQ
  1          724.4512788   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   6.100E+00  80.066E-03   822     4
  1          940.7004075   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000  18.300E+00 153.429E-03   828     4
  1         1478.6496620   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   833     4
  1         2026.0059383   1     0     1     0         2  40   500 0.0008  22     1  35     0  1000 158.600E+00   1.585E+00   708     4
  1         2995.5538395   1     0     1     0         2  41   500 0.0008  22     1  35     0  1000 201.300E+00   2.268E+00   682     4
  1         3044.4512343   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   835     4
  1         4156.0834690   1     0     1     0         2  37   500 0.0008  22     1  35     0  1000 103.700E+00 783.343E-03   777     4
  1         4560.3291443   1     0     1     0        15  48    67 0.0008  22     1  35     0  1000   1.077E+03  13.196E+00   549     4
  1         4688.0329938   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   9.150E+00  80.066E-03   820     4
  1         6484.1916438   1     0     1     0        17  50    59 0.0008  22     1  35     0  1000   1.382E+03  18.976E+00   530    24
  1        10832.2407020   1     0     1     0         2  40   500 0.0008  22     1  35     0  1000 170.800E+00   1.844E+00   690     4
  1        11764.4499535   1     0     1     0        17  47    59 0.0010  23     1  35     0  1000   1.235E+03  13.356E+00   558     4
  1        12258.3341498   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   808     4
  1        14353.8450637   1     0     1     0         0  35     0 0.0010  23     1  35     0  1000   0.000E+00   0.000E+00   830     4
  1        15858.3910155   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   9.150E+00 107.251E-03   763     4
  1        16175.4588995   1     0     1     0         2  37   500 0.0010  23     1  35     0  1000 109.800E+00 864.713E-03   745     4
  1        16811.0948838   1     0     1     0         2  39   500 0.0008  23     1  35     0  1000 161.650E+00   1.559E+00   709     4
  1        16930.9742598   1     0     1     0         0  35     0 0.0010  23     1  35     0  1000   9.150E+00  72.618E-03   814     4
  1        17131.4570323   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000   0.000E+00   0.000E+00   820     4
  1        18561.0136765   1     0     1     0         2  41   500 0.0008  22     1  35     0  1000 176.900E+00   1.972E+00   684     4
  1        20349.6120080   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000  18.300E+00 130.899E-03   840     4
  1        21484.7416627   1     0     1     0         0  35     0 0.0008  22     1  35     0  1000  18.300E+00 174.469E-03   767     4
