 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP A-FRQ    RMS ASL PCNTS THR R-FRQ I-FRQ SIG-STRNGTH  ABS-ENERGY FRQ-C P-FRQ
  1           32.9994687   3     0     1     0         0  35     0 0.0004  17     1  35     0  1000   6.100E+00  98.500E-03   571   439
  1           33.1504103   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   616   468
  1           33.2901728   3     0     1     0         0  35     0 0.0002  14     1  35     0  1000   0.000E+00   0.000E+00   629   449
  1           33.2982915   3     0     1     0         0  35     0 0.0002  14     1  35     0  1000   0.000E+00   0.000E+00   567   444
  1           33.3063645   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   602   141
  1           33.3282332   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   596   454
  1           33.3341435   3     0     1     0         0  35     0 0.0004  17     1  35     0  1000   0.000E+00   0.000E+00   574   151
  1           33.5402578   3     3     2     0         3  39   667 0.0004  15     1  35  1000   333 122.000E+00 745.731E-03   601   458
  1           33.5593495   3     0     2     0         5  39   400 0.0004  16     1  35   250  1000 240.950E+00   1.563E+00   581   458
  1           33.5683457   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   6.100E+00  94.217E-03   575   449
  1           33.5762965   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   596   463
  1           33.6742558   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   608   454
  1           33.7611015   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   656   449
  1           33.7663147   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   615   454
  1           33.7711217   3     0     3     0         5  39   600 0.0004  16     2  35   250  2000 198.250E+00   1.203E+00   575   454
  1           33.7756355   3     0     1     0         1  35  1000 0.0004  16     1  35     0  1000  45.750E+00 290.286E-03   591   454
  1           33.7922653   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   6.100E+00  76.342E-03   591   454
  1           34.3807433   1     2    17     0        42  48   405 0.0002  10     2  35   375  1000   2.815E+03  30.720E+00   583   468
  1           35.0244200   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   6.100E+00  82.114E-03   608   185
  1           35.0734353   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   611   449
  1           35.7363783   3     0     1     0         0  35     0 0.0002  14     1  35     0  1000   6.100E+00  78.204E-03   609   444
  1           35.7787882   3     0     2     0       405  37     5 0.0004  15     1  35     2  1000   1.992E+03   3.304E+00   557   141
  1           35.9758188   3     1     2     0         4  39   500 0.0004  15     1  35   500  1000 167.750E+00 958.558E-03   565   454
  1           36.2092283   3     0     1     0         0  35     0 0.0002  14     1  35     0  1000   6.100E+00  82.114E-03   615   439
  1           36.6236862   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   596   449
  1           36.6622655   3     0     1     0         1  37  1000 0.0004  15     1  35     0  1000  61.000E+00 380.593E-03   577   444
  1           36.6753342   3     0     1     0         1  36  1000 0.0004  16     1  35     0  1000  39.650E+00 210.034E-03   634   454
  1           36.7307415   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   640   468
  1           36.7497155   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   6.100E+00  67.218E-03   596   444
  1           36.7552403   3     0     2     0         6  38   333 0.0004  16     1  35   200  1000 189.100E+00 927.835E-03   552   449
