C:\MistrasGroup\AEwin for Express-8 Version V5.92\Data\Art_Wind_Tunnel\WTA_3_18_21_15Hz\WTA_3_18_21_15Hz_10min.DTA
Express-8 (r) Location Version 
Version V5.92

Thu Mar 18 10:32:08 2021

 ID     SSSSSSSS.mmmuuun  CH    RMS ASL THR  ABS-ENERGY  CH    RMS ASL THR  ABS-ENERGY
  2            0.0999000   1 0.0002  10  35  49.241E+00   3 0.0002  13  35 106.312E+00
  2            0.1999000   1 0.0002  10  35  55.020E+00   3 0.0002  13  35 116.262E+00
  2            0.2999000   1 0.0002  10  35  54.934E+00   3 0.0002  13  35 117.114E+00
  2            0.3999000   1 0.0002  10  35  55.145E+00   3 0.0002  13  35 116.983E+00
  2            0.4999000   1 0.0002  10  35  55.097E+00   3 0.0002  13  35 117.215E+00
  2            0.5999000   1 0.0002  10  35  55.011E+00   3 0.0002  13  35 116.692E+00
  2            0.6999000   1 0.0002  10  35  54.996E+00   3 0.0002  13  35 116.720E+00
  2            0.7999000   1 0.0002  10  35  54.381E+00   3 0.0002  13  35 115.952E+00
  2            0.8999000   1 0.0002  10  35  54.746E+00   3 0.0002  13  35 117.557E+00
  2            3.8999000   1 0.0002  10  35   1.644E+03   3 0.0002  13  35   3.517E+03
  2            3.9999000   1 0.0002  10  35  54.482E+00   3 0.0002  13  35 116.789E+00
  2            4.0999000   1 0.0002  10  35  54.504E+00   3 0.0002  13  35 117.118E+00
  2            4.1999000   1 0.0002  10  35  54.974E+00   3 0.0002  13  35 117.295E+00
  2            4.2999000   1 0.0002  10  35  54.646E+00   3 0.0002  13  35 116.341E+00
  2            4.3999000   1 0.0002  10  35  54.710E+00   3 0.0002  13  35 116.641E+00
  2            4.4999000   1 0.0002  10  35  54.441E+00   3 0.0002  13  35 117.352E+00
  2           32.9999000   1 0.0002  13  35  17.971E+03   3 0.0004  17  35  56.268E+03
  2           33.0999000   1 0.0002  11  35  71.305E+00   3 0.0004  17  35 283.683E+00
  2           33.1999000   1 0.0002  10  35  61.250E+00   3 0.0004  15  35 172.033E+00
  2           33.2999000   1 0.0002  10  35  59.770E+00   3 0.0002  14  35 149.367E+00
  2           33.3999000   1 0.0002  11  35  74.557E+00   3 0.0004  18  35 320.412E+00
  2           33.4999000   1 0.0002  10  35  60.714E+00   3 0.0004  15  35 164.155E+00
  2           33.5999000   1 0.0002  11  35  73.600E+00   3 0.0004  17  35 314.494E+00
  2           33.6999000   1 0.0002  10  35  62.258E+00   3 0.0004  15  35 182.394E+00
  2           33.7999000   1 0.0002  11  35  67.338E+00   3 0.0004  16  35 239.941E+00
  2           33.8999000   1 0.0002  11  35  67.447E+00   3 0.0004  16  35 228.609E+00
  2           33.9999000   1 0.0002  10  35  61.860E+00   3 0.0004  15  35 171.172E+00
  2           34.0999000   1 0.0002  10  35  59.084E+00   3 0.0002  14  35 140.253E+00
  2           34.1999000   1 0.0002  10  35  57.719E+00   3 0.0002  14  35 127.246E+00
  2           34.2999000   1 0.0002  10  35  58.396E+00   3 0.0002  14  35 137.113E+00
