C:\MistrasGroup\AEwin for Express-8 Version V5.92\Data\Art_Wind_Tunnel\WTA_3_18_21_20Hz_10min\WTA_3_18_21_20Hz_10min.DTA
Express-8 (r) Location Version 
Version V5.92

Thu Mar 18 10:50:02 2021

 ID     SSSSSSSS.mmmuuun  CH    RMS ASL THR  ABS-ENERGY  CH    RMS ASL THR  ABS-ENERGY
  2            0.0999000   1 0.0002  10  35  50.143E+00   3 0.0002  13  35 106.822E+00
  2            0.1999000   1 0.0002  10  35  55.109E+00   3 0.0002  13  35 117.811E+00
  2            0.2999000   1 0.0002  10  35  54.923E+00   3 0.0002  13  35 116.801E+00
  2            0.3999000   1 0.0002  10  35  54.936E+00   3 0.0002  13  35 117.339E+00
  2           26.4999000   1 0.0002  14  35  32.097E+03   3 0.0008  21  35 186.195E+03
  2           26.5999000   1 0.0004  15  35 182.869E+00   3 0.0010  24  35   1.430E+03
  2           26.6999000   1 0.0002  13  35 114.126E+00   3 0.0006  21  35 637.156E+00
  2           26.7999000   1 0.0004  16  35 217.089E+00   3 0.0012  25  35   1.750E+03
  2           26.8999000   1 0.0004  17  35 306.520E+00   3 0.0014  26  35   2.186E+03
  2           26.9999000   1 0.0006  20  35 574.898E+00   3 0.0022  30  35   5.061E+03
  2           27.0999000   1 0.0006  18  35 392.615E+00   3 0.0016  27  35   2.762E+03
  2           27.1999000   1 0.0006  19  35 465.619E+00   3 0.0020  29  35   4.622E+03
  2           27.2999000   1 0.0006  20  35 584.124E+00   3 0.0024  30  35   6.173E+03
  2           27.3999000   1 0.0004  16  35 219.292E+00   3 0.0012  25  35   1.728E+03
  2           27.4999000   1 0.0004  17  35 304.926E+00   3 0.0014  26  35   2.099E+03
  2           27.5999000   1 0.0004  17  35 268.137E+00   3 0.0014  26  35   2.223E+03
  2           27.6999000   1 0.0006  18  35 376.509E+00   3 0.0016  27  35   3.098E+03
  2           27.7999000   1 0.0006  18  35 379.968E+00   3 0.0016  27  35   2.574E+03
  2           27.8999000   1 0.0004  16  35 241.033E+00   3 0.0012  25  35   1.777E+03
  2           27.9999000   1 0.0004  15  35 178.577E+00   3 0.0008  22  35 839.963E+00
  2           28.0999000   1 0.0006  19  35 487.442E+00   3 0.0020  29  35   4.130E+03
  2           28.1999000   1 0.0010  23  35   1.156E+03   3 0.0034  33  35  11.824E+03
  2           28.2999000   1 0.0004  16  35 229.536E+00   3 0.0012  25  35   1.763E+03
  2           28.3999000   1 0.0006  18  35 380.892E+00   3 0.0016  27  35   3.069E+03
  2           28.4999000   1 0.0006  19  35 435.915E+00   3 0.0014  27  35   2.528E+03
  2           28.5999000   1 0.0004  17  35 292.462E+00   3 0.0014  26  35   2.441E+03
  2           28.6999000   1 0.0004  16  35 201.055E+00   3 0.0012  24  35   1.473E+03
  2           28.7999000   1 0.0004  17  35 251.972E+00   3 0.0014  26  35   2.096E+03
  2           28.8999000   1 0.0004  15  35 163.090E+00   3 0.0010  23  35   1.217E+03
  2           28.9999000   1 0.0006  19  35 414.128E+00   3 0.0020  29  35   4.003E+03
  2           29.0999000   1 0.0004  16  35 241.858E+00   3 0.0014  26  35   2.018E+03
  2           29.1999000   1 0.0004  15  35 189.645E+00   3 0.0010  24  35   1.348E+03
  2           29.2999000   1 0.0002  14  35 143.689E+00   3 0.0008  22  35 824.642E+00
  2           29.3999000   1 0.0004  17  35 251.760E+00   3 0.0014  26  35   2.227E+03
  2           29.4999000   1 0.0004  15  35 166.630E+00   3 0.0010  23  35   1.241E+03
  2           29.5999000   1 0.0006  18  35 390.176E+00   3 0.0018  28  35   3.358E+03
  2           29.6999000   1 0.0006  19  35 407.545E+00   3 0.0016  27  35   2.970E+03
  2           29.7999000   1 0.0004  17  35 267.539E+00   3 0.0014  26  35   2.415E+03
  2           29.8999000   1 0.0006  19  35 454.858E+00   3 0.0020  29  35   4.816E+03
  2           29.9999000   1 0.0004  15  35 164.392E+00   3 0.0010  23  35   1.132E+03
  2           30.0999000   1 0.0004  17  35 308.477E+00   3 0.0018  28  35   3.275E+03
  2           30.1999000   1 0.0004  16  35 222.645E+00   3 0.0012  24  35   1.474E+03
  2           30.2999000   1 0.0006  19  35 454.569E+00   3 0.0020  29  35   4.001E+03
  2           30.3999000   1 0.0004  15  35 160.632E+00   3 0.0008  22  35 970.225E+00
  2           30.4999000   1 0.0006  19  35 447.681E+00   3 0.0020  29  35   4.029E+03
  2           30.5999000   1 0.0004  16  35 213.037E+00   3 0.0012  24  35   1.553E+03
  2           30.6999000   1 0.0006  19  35 422.478E+00   3 0.0018  28  35   3.939E+03
  2           30.7999000   1 0.0004  18  35 329.801E+00   3 0.0016  27  35   3.140E+03
  2           30.8999000   1 0.0004  17  35 263.007E+00   3 0.0012  25  35   1.726E+03
  2           30.9999000   1 0.0002  14  35 142.419E+00   3 0.0008  21  35 729.542E+00
  2           31.0999000   1 0.0004  17  35 272.956E+00   3 0.0006  21  35 635.984E+00
  2           31.1999000   1 0.0004  17  35 314.509E+00   3 0.0014  26  35   2.292E+03
  2           31.2999000   1 0.0004  15  35 166.281E+00   3 0.0010  23  35   1.177E+03
  2           31.3999000   1 0.0006  19  35 435.479E+00   3 0.0018  28  35   3.608E+03
  2           31.4999000   1 0.0002  14  35 135.279E+00   3 0.0008  22  35 898.543E+00
  2           31.5999000   1 0.0004  15  35 181.632E+00   3 0.0012  24  35   1.503E+03
  2           31.6999000   1 0.0004  16  35 214.457E+00   3 0.0012  25  35   1.617E+03
  2           31.7999000   1 0.0004  18  35 355.336E+00   3 0.0016  27  35   2.984E+03
  2           31.8999000   1 0.0004  16  35 227.423E+00   3 0.0012  25  35   1.857E+03
  2           31.9999000   1 0.0006  18  35 385.779E+00   3 0.0016  28  35   3.209E+03
  2           32.0999000   1 0.0004  16  35 245.599E+00   3 0.0014  26  35   2.081E+03
  2           32.1999000   1 0.0006  19  35 455.935E+00   3 0.0020  29  35   4.386E+03
  2           32.2999000   1 0.0004  17  35 273.517E+00   3 0.0014  26  35   2.378E+03
  2           32.3999000   1 0.0004  17  35 254.972E+00   3 0.0012  25  35   1.890E+03
  2           32.4999000   1 0.0004  15  35 168.560E+00   3 0.0008  22  35 834.479E+00
  2           32.5999000   1 0.0006  19  35 431.475E+00   3 0.0020  29  35   4.348E+03
  2           32.6999000   1 0.0004  17  35 313.255E+00   3 0.0016  27  35   2.701E+03
  2           32.7999000   1 0.0004  17  35 285.522E+00   3 0.0014  26  35   2.418E+03
  2           32.8999000   1 0.0006  20  35 511.372E+00   3 0.0022  30  35   5.038E+03
  2           32.9999000   1 0.0002  14  35 153.305E+00   3 0.0010  23  35   1.184E+03
  2           33.0999000   1 0.0006  20  35 583.223E+00   3 0.0020  29  35   4.811E+03
  2           33.1999000   1 0.0004  15  35 197.538E+00   3 0.0008  22  35 948.030E+00
  2           33.2999000   1 0.0004  15  35 185.527E+00   3 0.0012  24  35   1.498E+03
  2           33.3999000   1 0.0002  14  35 131.401E+00   3 0.0008  22  35 825.349E+00
  2           33.4999000   1 0.0002  14  35 140.747E+00   3 0.0008  22  35 832.944E+00
  2           33.5999000   1 0.0002  14  35 134.294E+00   3 0.0008  21  35 780.631E+00
  2           33.6999000   1 0.0002  13  35 111.969E+00   3 0.0008  21  35 685.433E+00
  2           33.7999000   1 0.0004  17  35 253.276E+00   3 0.0012  24  35   1.551E+03
  2           33.8999000   1 0.0004  17  35 281.795E+00   3 0.0014  26  35   2.369E+03
  2           33.9999000   1 0.0004  17  35 252.965E+00   3 0.0012  25  35   1.924E+03
  2           34.0999000   1 0.0006  19  35 420.165E+00   3 0.0018  28  35   3.480E+03
  2           34.1999000   1 0.0002  14  35 150.095E+00   3 0.0008  22  35 926.150E+00
  2           34.2999000   1 0.0004  16  35 218.684E+00   3 0.0010  23  35   1.035E+03
  2           34.3999000   1 0.0004  17  35 259.668E+00   3 0.0014  26  35   2.181E+03
  2           34.4999000   1 0.0004  18  35 359.798E+00   3 0.0016  28  35   3.236E+03
  2           34.5999000   1 0.0004  15  35 179.527E+00   3 0.0010  23  35   1.082E+03
  2           34.6999000   1 0.0008  21  35 772.046E+00   3 0.0026  31  35   7.301E+03
  2           34.7999000   1 0.0008  21  35 714.029E+00   3 0.0024  30  35   6.099E+03
  2           34.8999000   1 0.0004  16  35 226.001E+00   3 0.0010  23  35   1.169E+03
  2           34.9999000   1 0.0004  16  35 227.025E+00   3 0.0014  25  35   1.971E+03
  2           35.0999000   1 0.0004  18  35 320.686E+00   3 0.0016  27  35   2.639E+03
  2           35.1999000   1 0.0004  17  35 266.618E+00   3 0.0014  26  35   2.145E+03
  2           35.2999000   1 0.0004  15  35 184.076E+00   3 0.0010  24  35   1.419E+03
  2           35.3999000   1 0.0004  16  35 211.547E+00   3 0.0012  24  35   1.445E+03
  2           35.4999000   1 0.0004  17  35 271.232E+00   3 0.0012  25  35   1.589E+03
  2           35.5999000   1 0.0006  18  35 363.241E+00   3 0.0014  26  35   2.425E+03
  2           35.6999000   1 0.0004  16  35 205.613E+00   3 0.0012  25  35   1.731E+03
  2           35.7999000   1 0.0004  17  35 266.549E+00   3 0.0012  25  35   1.817E+03
  2           35.8999000   1 0.0004  17  35 278.615E+00   3 0.0012  24  35   1.545E+03
  2           35.9999000   1 0.0006  19  35 430.850E+00   3 0.0018  28  35   3.379E+03
  2           36.0999000   1 0.0006  20  35 593.917E+00   3 0.0022  30  35   5.703E+03
  2           36.1999000   1 0.0006  19  35 485.763E+00   3 0.0020  29  35   4.290E+03
  2           36.2999000   1 0.0004  15  35 198.024E+00   3 0.0010  24  35   1.324E+03
  2           36.3999000   1 0.0004  18  35 331.744E+00   3 0.0016  27  35   2.799E+03
  2           36.4999000   1 0.0004  16  35 223.193E+00   3 0.0012  25  35   1.870E+03
  2           36.5999000   1 0.0006  19  35 416.803E+00   3 0.0018  28  35   3.405E+03
  2           36.6999000   1 0.0004  18  35 317.796E+00   3 0.0014  26  35   2.436E+03
  2           36.7999000   1 0.0004  16  35 226.456E+00   3 0.0012  25  35   1.762E+03
  2           36.8999000   1 0.0004  15  35 193.440E+00   3 0.0010  24  35   1.361E+03
  2           36.9999000   1 0.0004  17  35 267.027E+00   3 0.0014  26  35   2.419E+03
  2           37.0999000   1 0.0002  14  35 157.678E+00   3 0.0008  22  35 940.570E+00
  2           37.1999000   1 0.0006  19  35 444.664E+00   3 0.0018  28  35   3.660E+03
  2           37.2999000   1 0.0002  15  35 158.869E+00   3 0.0008  22  35 861.799E+00
  2           37.3999000   1 0.0004  17  35 263.827E+00   3 0.0014  26  35   2.472E+03
  2           37.4999000   1 0.0004  16  35 240.525E+00   3 0.0012  24  35   1.555E+03
  2           37.5999000   1 0.0004  16  35 240.981E+00   3 0.0008  22  35 888.572E+00
  2           37.6999000   1 0.0004  15  35 174.322E+00   3 0.0010  23  35   1.254E+03
  2           37.7999000   1 0.0004  17  35 295.267E+00   3 0.0014  26  35   2.493E+03
  2           37.8999000   1 0.0006  20  35 579.345E+00   3 0.0024  30  35   6.209E+03
  2           37.9999000   1 0.0004  17  35 312.313E+00   3 0.0016  27  35   2.669E+03
  2           38.0999000   1 0.0006  21  35 637.560E+00   3 0.0024  30  35   6.057E+03
  2           38.1999000   1 0.0006  21  35 637.320E+00   3 0.0022  30  35   5.676E+03
  2           38.2999000   1 0.0004  17  35 250.774E+00   3 0.0014  25  35   1.988E+03
  2           38.3999000   1 0.0004  17  35 291.709E+00   3 0.0014  27  35   2.529E+03
  2           38.4999000   1 0.0004  18  35 325.133E+00   3 0.0016  27  35   3.099E+03
  2           38.5999000   1 0.0006  19  35 477.740E+00   3 0.0018  28  35   3.908E+03
  2           38.6999000   1 0.0002  14  35 151.083E+00   3 0.0010  23  35   1.022E+03
  2           38.7999000   1 0.0004  15  35 192.390E+00   3 0.0010  24  35   1.291E+03
  2           38.8999000   1 0.0004  15  35 176.801E+00   3 0.0008  22  35 874.776E+00
  2           38.9999000   1 0.0004  16  35 207.048E+00   3 0.0012  24  35   1.495E+03
  2           39.0999000   1 0.0004  16  35 213.002E+00   3 0.0012  25  35   1.721E+03
  2           39.1999000   1 0.0004  18  35 316.369E+00   3 0.0018  28  35   3.301E+03
  2           39.2999000   1 0.0006  19  35 478.219E+00   3 0.0022  30  35   5.329E+03
  2           39.3999000   1 0.0004  17  35 254.426E+00   3 0.0014  26  35   2.213E+03
  2           39.4999000   1 0.0004  16  35 203.214E+00   3 0.0012  25  35   1.693E+03
  2           39.5999000   1 0.0002  14  35 149.612E+00   3 0.0008  21  35 687.255E+00
  2           39.6999000   1 0.0004  16  35 217.386E+00   3 0.0012  24  35   1.474E+03
  2           39.7999000   1 0.0004  16  35 246.328E+00   3 0.0012  25  35   1.948E+03
  2           39.8999000   1 0.0006  19  35 429.259E+00   3 0.0018  29  35   3.993E+03
  2           39.9999000   1 0.0004  17  35 270.354E+00   3 0.0014  26  35   2.294E+03
  2           40.0999000   1 0.0008  22  35 829.814E+00   3 0.0028  32  35   8.418E+03
  2           40.1999000   1 0.0006  20  35 606.495E+00   3 0.0020  29  35   4.321E+03
  2           40.2999000   1 0.0004  16  35 215.143E+00   3 0.0010  23  35   1.124E+03
  2           40.3999000   1 0.0006  20  35 614.984E+00   3 0.0022  30  35   5.388E+03
  2           40.4999000   1 0.0004  16  35 212.282E+00   3 0.0010  23  35   1.040E+03
  2           40.5999000   1 0.0006  20  35 510.630E+00   3 0.0014  26  35   2.086E+03
  2           40.6999000   1 0.0002  14  35 144.212E+00   3 0.0008  22  35 873.923E+00
  2           40.7999000   1 0.0006  18  35 379.520E+00   3 0.0016  27  35   3.070E+03
  2           40.8999000   1 0.0002  14  35 157.304E+00   3 0.0010  23  35   1.090E+03
  2           40.9999000   1 0.0006  19  35 486.286E+00   3 0.0018  28  35   3.870E+03
  2           41.0999000   1 0.0004  18  35 344.012E+00   3 0.0016  27  35   2.847E+03
  2           41.1999000   1 0.0006  19  35 441.345E+00   3 0.0018  28  35   3.779E+03
